Service,CostCentre,Spend Type,Amount
Economy and Investment,Business & Economy Team,Transport Related,3980
Economy and Investment,Business & Economy Team,Supplies and Services,203100
Economy and Investment,Business & Economy Team,Support Service Recharges Expenditure,123460
Economy and Investment,Business & Economy Team,"Grants, Contributions, Other Income ",-99000
Economy and Investment,Regen - Property,Premise Related,500
Economy and Investment,Regen - Property,Depreciation Charges and Revenue contribution to Capital,8320
Economy and Investment,Regen - Grounds Maint,Premise Related,11745
Economy and Investment,Employment Hub,Employee Costs,20520
Economy and Investment,Employment Hub,Employee Costs,140200
Economy and Investment,Employment Hub,"Grants, Contributions, Other Income ",-140200
Economy and Investment,ISCAL,Employee Costs,37610
Economy and Investment,ISCAL,Employee Costs,334946
Economy and Investment,ISCAL,Employee Related,760
Economy and Investment,ISCAL,Premise Related,124000
Economy and Investment,ISCAL,Premise Related,280
Economy and Investment,ISCAL,Transport Related,13840
Economy and Investment,ISCAL,Supplies and Services,176755
Economy and Investment,ISCAL,Support Service Recharges Expenditure,236700
Economy and Investment,ISCAL,Depreciation Charges and Revenue contribution to Capital,20750
Economy and Investment,ISCAL,"Grants, Contributions, Other Income ",-471685
Economy and Investment,L. & P. Commercial Properties,Premise Related,620
Economy and Investment,Net Charge To General Rate Fund,Appropriations from/to Earmarked Reserves,82450
Economy and Investment,CAL - Central / Management and Admin,Employee Costs,511809
Economy and Investment,CAL - Central / Management and Admin,Employee Related,10000
Economy and Investment,CAL - Central / Management and Admin,Premise Related,87150
Economy and Investment,CAL - Central / Management and Admin,Supplies and Services,389000
Economy and Investment,CAL - Central / Management and Admin,Internal Recharge Expenditure,45000
Economy and Investment,CAL - Central / Management and Admin,"Grants, Contributions, Other Income ",-1042959
Economy and Investment,Calder Greening,Employee Costs,87000
Economy and Investment,Calder Greening,"Grants, Contributions, Other Income ",-87000
Economy and Investment,Future High Streets Fund - Halifax (orig funding),Supplies and Services,33760
Economy and Investment,Future High Streets Fund - Halifax (orig funding),Internal Recharge Expenditure,12500
Economy and Investment,Future High Streets Fund - Halifax (orig funding),"Grants, Contributions, Other Income ",-46260
Economy and Investment,Future High Streets Fund - Elland (orig funding),Supplies and Services,49480
Economy and Investment,Future High Streets Fund - Elland (orig funding),Internal Recharge Expenditure,12500
Economy and Investment,Future High Streets Fund - Elland (orig funding),"Grants, Contributions, Other Income ",-61980
Economy and Investment,Towns Fund - Todmorden,Supplies and Services,33890
Economy and Investment,Towns Fund - Todmorden,Internal Recharge Expenditure,12500
Economy and Investment,Towns Fund - Todmorden,"Grants, Contributions, Other Income ",-128840
Economy and Investment,Towns Fund - Brighouse,Supplies and Services,179620
Economy and Investment,Towns Fund - Brighouse,Internal Recharge Expenditure,12500
Economy and Investment,Towns Fund - Brighouse,"Grants, Contributions, Other Income ",-192120
Economy and Investment,Future High Streets Fund - Halifax (final approv),Supplies and Services,307643
Economy and Investment,Future High Streets Fund - Halifax (final approv),"Grants, Contributions, Other Income ",-307643
Economy and Investment,Heritage Action Zone - Sowerby Bridge,Supplies and Services,1483470
Economy and Investment,Heritage Action Zone - Sowerby Bridge,"Grants, Contributions, Other Income ",-1483470
Education,Funds allocated Primary,Supplies and Services,51400678
Education,Funds allocated Primary,"Grants, Contributions, Other Income ",-51400678
Education,Funds allocated Secondary,Supplies and Services,12602650
Education,Funds allocated Secondary,"Grants, Contributions, Other Income ",-12602650
Education,Funds allocated Primary Special,Supplies and Services,4659348
Education,Funds allocated Primary Special,"Grants, Contributions, Other Income ",-4659348
Education,Funds allocated Secondary Special,Supplies and Services,4113152
Education,Funds allocated Secondary Special,"Grants, Contributions, Other Income ",-4113152
Finance Service,Finance General,Employee Costs,-313150
Finance Service,Finance General,Supplies and Services,179460
Finance Service,Finance General,Support Service Recharges Expenditure,1249600
Finance Service,Finance General,Support Service Recharges Income,-889380
Finance Service,Finance General,"Grants, Contributions, Other Income ",-65000
Finance Service,Chief and Deputy Chief Exec Support,Employee Costs,11600
Finance Service,Chief and Deputy Chief Exec Support,Employee Costs,71917
Finance Service,Chief and Deputy Chief Exec Support,Support Service Recharges Expenditure,8550
Finance Service,Chief and Deputy Chief Exec Support,Support Service Recharges Income,-92070
Finance Service,Risk Management,Employee Costs,3740
Finance Service,Risk Management,Employee Costs,27288
Finance Service,Risk Management,Supplies and Services,300
Finance Service,Risk Management,Support Service Recharges Income,-31330
Finance Service,Central Team,Employee Costs,66400
Finance Service,Central Team,Employee Costs,421803
Finance Service,Central Team,Transport Related,20
Finance Service,Central Team,Supplies and Services,5990
Finance Service,Central Team,Support Service Recharges Expenditure,45340
Finance Service,Central Team,Support Service Recharges Income,-539550
Finance Service,Audit,Employee Costs,66260
Finance Service,Audit,Employee Costs,421253
Finance Service,Audit,Transport Related,670
Finance Service,Audit,Supplies and Services,3940
Finance Service,Audit,Support Service Recharges Expenditure,16020
Finance Service,Audit,Support Service Recharges Income,-497800
Finance Service,Audit,"Grants, Contributions, Other Income ",-10340
Finance Service,Banking and Technical Advice,Employee Costs,14000
Finance Service,Banking and Technical Advice,Employee Costs,89236
Finance Service,Banking and Technical Advice,Premise Related,860
Finance Service,Banking and Technical Advice,Supplies and Services,112110
Finance Service,Banking and Technical Advice,Large Contract Areas,40890
Finance Service,Banking and Technical Advice,Support Service Recharges Expenditure,5040
Finance Service,Banking and Technical Advice,Support Service Recharges Income,-230670
Finance Service,Banking and Technical Advice,"Grants, Contributions, Other Income ",-31470
Finance Service,Senior Management,Employee Costs,16210
Finance Service,Senior Management,Employee Costs,106994
Finance Service,Senior Management,Support Service Recharges Income,-123200
Finance Service,Self Directed Supp/Individ Serv Funds Audits Team,Employee Costs,12200
Finance Service,Self Directed Supp/Individ Serv Funds Audits Team,Employee Costs,107679
Finance Service,Self Directed Supp/Individ Serv Funds Audits Team,Support Service Recharges Income,-119880
Finance Service,Insurance,Employee Costs,20110
Finance Service,Insurance,Employee Costs,143310
Finance Service,Insurance,Transport Related,40
Finance Service,Insurance,Supplies and Services,450
Finance Service,Insurance,Support Service Recharges Expenditure,39810
Finance Service,Insurance,Internal Recharge Expenditure,6930
Finance Service,Insurance,Support Service Recharges Income,-170840
Finance Service,Insurance,"Grants, Contributions, Other Income ",-39810
Finance Service,Local Management of Schools Team,Employee Costs,29500
Finance Service,Local Management of Schools Team,Employee Costs,187527
Finance Service,Local Management of Schools Team,Employee Related,160
Finance Service,Local Management of Schools Team,Transport Related,930
Finance Service,Local Management of Schools Team,Supplies and Services,620
Finance Service,Local Management of Schools Team,Support Service Recharges Expenditure,4040
Finance Service,Local Management of Schools Team,Support Service Recharges Income,-18480
Finance Service,Local Management of Schools Team,"Grants, Contributions, Other Income ",-204300
Finance Service,Income,Employee Costs,26050
Finance Service,Income,Employee Costs,199974
Finance Service,Income,Supplies and Services,17230
Finance Service,Income,Support Service Recharges Expenditure,33080
Finance Service,Income,Support Service Recharges Income,-253440
Finance Service,Income,"Grants, Contributions, Other Income ",-22890
Finance Service,Business Support,Employee Costs,641030
Finance Service,Business Support,Employee Costs,4085348
Finance Service,Business Support,Employee Related,90
Finance Service,Business Support,Transport Related,100
Finance Service,Business Support,Supplies and Services,160682
Finance Service,Business Support,Support Service Recharges Expenditure,23570
Finance Service,Business Support,Support Service Recharges Income,-4797290
Finance Service,Business Support,"Grants, Contributions, Other Income ",-192671
Finance Service,Transformation,Employee Costs,184390
Finance Service,Transformation,Employee Costs,1048137
Finance Service,Transformation,Employee Related,1680
Finance Service,Transformation,Transport Related,3960
Finance Service,Transformation,Transport Related,330
Finance Service,Transformation,Supplies and Services,21183
Finance Service,Transformation,Large Contract Areas,-21200
Finance Service,Transformation,Support Service Recharges Expenditure,3030
Finance Service,Transformation,Depreciation Charges and Revenue contribution to Capital,1530
Finance Service,Transformation,Support Service Recharges Income,-1243040
Finance Service,Council Tax,Employee Costs,83800
Finance Service,Council Tax,Employee Costs,516827
Finance Service,Council Tax,Transport Related,4600
Finance Service,Council Tax,Supplies and Services,421500
Finance Service,Council Tax,Supplies and Services,78520
Finance Service,Council Tax,Support Service Recharges Expenditure,395170
Finance Service,Council Tax,"Grants, Contributions, Other Income ",-1000000
Finance Service,Council Tax,"Grants, Contributions, Other Income ",-32745
Finance Service,NNDR,Employee Costs,22510
Finance Service,NNDR,Employee Costs,151568
Finance Service,NNDR,Supplies and Services,38530
Finance Service,NNDR,Supplies and Services,8200
Finance Service,NNDR,Support Service Recharges Expenditure,213290
Finance Service,NNDR,"Grants, Contributions, Other Income ",-416789
Finance Service,Adult Health and Social Care Support,Employee Costs,17070
Finance Service,Adult Health and Social Care Support,Employee Costs,105821
Finance Service,Adult Health and Social Care Support,Supplies and Services,40
